Center,Family,Orient,SV_1,SV_2,SV_3,SV_4,SV_5,SV_6,T,C,nu,k
L4,SPO,None,0.795983623102886,0.87108912254117,0,0.16162804702788,-0.35761008507082,0,6.53843404398797,2.92835295085915,1,1.92702011883486
L4,SPO,None,0.784865035546754,0.873543970911929,0,0.161224653217612,-0.34263517583784,0,6.54193381161874,2.93357306321616,1,1.92578038893517
L4,SPO,None,0.773679140623008,0.876133827262486,0,0.160792001079654,-0.328045266810383,0,6.54520539569846,2.9383681901815,1,1.92461669983166
L4,SPO,None,0.762449801035483,0.878828841534171,0,0.160312347716598,-0.313836868278254,0,6.54825794812083,2.94276979529949,1,1.92352673160371
L4,SPO,None,0.75119914242456,0.881603490347991,0,0.15977312616948,-0.300006816515897,0,6.55110083020228,2.94680710320472,1,1.92250797852418
L4,SPO,None,0.739945244019156,0.884431943144499,0,0.159160011899428,-0.286545815126216,0,6.55374472327616,2.95050895818368,1,1.92155736055904
L4,SPO,None,0.728701071301249,0.887288135148333,0,0.158456114798268,-0.273437540675734,0,6.55620150589481,2.95390377841449,1,1.92067126701331
L4,SPO,None,0.717473230087466,0.890145678461279,0,0.15764086681055,-0.260657527161494,0,6.55848414222411,2.95701954914476,1,1.91984559891724
L4,SPO,None,0.706259544209076,0.892976746185052,0,0.156687051387838,-0.248169936430464,0,6.56060691214381,2.95988428163004,1,1.91907568882436
L4,SPO,None,0.695043093914232,0.895748526176915,0,0.155552966035571,-0.235918424252168,0,6.5625865224559,2.96252761623641,1,1.91835589914346
L4,SPO,None,0.683772694824447,0.898410427058502,0,0.154155866950259,-0.223794384623305,0,6.56444651984066,2.96498667945185,1,1.91767801073909
L4,SPO,None,0.672273999411616,0.900827718070176,0,0.152240796246956,-0.211485238096139,0,6.56623904884372,2.96733424572794,1,1.91702324955064
L4,SPO,None,0.659830917431816,0.902022626381395,0,0.148155160838485,-0.197445872369421,0,6.568195735277,2.96987254124121,1,1.91630693410094
L4,SPO,None,0.647310523184069,0.903195292770772,0,0.143870509023231,-0.183622082456103,0,6.56999948805811,2.97218967331295,1,1.91564507460155
L4,SPO,None,0.636090685790508,0.90550124639021,0,0.141643402226443,-0.172402925052492,0,6.57133928310585,2.97389541879081,1,1.9151523566658
