x,y,z,vx,vy,vz
  6.01863906860171E+05,  1.40399479566915E+06,  2.43264707073237E+05,  4.74858528837834E-01,  1.33933215230474E+00,  2.10537966886228E-01
  5.98877834257963E+05,  1.40387903485254E+06,  2.42705137014278E+05,  4.71470832487884E-01,  1.33879085191737E+00,  2.09888609979053E-01
  6.01091247336708E+05,  1.40120902218501E+06,  2.43674793614358E+05,  4.73652200870798E-01,  1.33573041279029E+00,  2.10812265283073E-01
  5.99755843889542E+05,  1.40199354636142E+06,  2.43045126854976E+05,  4.72232685686259E-01,  1.33652841169466E+00,  2.10169312825000E-01
  6.01715505114847E+05,  1.40186469202175E+06,  2.42658195256501E+05,  4.74415819906951E-01,  1.33658904612587E+00,  2.09812433256479E-01
  6.01606208161089E+05,  1.40459914515209E+06,  2.42687269181822E+05,  4.74633496467010E-01,  1.34003580380464E+00,  2.09966884716140E-01
  6.01642253262810E+05,  1.40347607472487E+06,  2.43612928181785E+05,  4.74553682732933E-01,  1.33866396309554E+00,  2.10864386536241E-01
  6.02484266086952E+05,  1.40502717711666E+06,  2.43283341054056E+05,  4.75684798518689E-01,  1.34071788413579E+00,  2.10618467793757E-01
  6.01010934491983E+05,  1.40411907821450E+06,  2.44072488501538E+05,  4.73933006924089E-01,  1.33941998819000E+00,  2.11349312973861E-01
  6.03200196966679E+05,  1.40292281559422E+06,  2.42686721685077E+05,  4.76218451616612E-01,  1.33811199102759E+00,  2.09925488236758E-01
  6.02507712841067E+05,  1.40479153535321E+06,  2.43064382114553E+05,  4.75677186394942E-01,  1.34041023674316E+00,  2.10384211254145E-01
  6.02957342306342E+05,  1.40629063563638E+06,  2.43647961122804E+05,  4.76380829110836E-01,  1.34239104774862E+00,  2.11057563041483E-01
  6.00654836444050E+05,  1.40355787076757E+06,  2.42727238254059E+05,  4.73428800369492E-01,  1.33860559316343E+00,  2.09941074460008E-01
  6.01935169963604E+05,  1.40136630428335E+06,  2.43668975911115E+05,  4.74624200319683E-01,  1.33603189518588E+00,  2.10831276045502E-01
  6.03040120311612E+05,  1.40485455446698E+06,  2.43734758945051E+05,  4.76300661770740E-01,  1.34058680528593E+00,  2.11083954787769E-01
  6.00579875769718E+05,  1.40146750222254E+06,  2.43304460222063E+05,  4.73100967342800E-01,  1.33597687925853E+00,  2.10433104566970E-01
  6.02849343473247E+05,  1.40279403284903E+06,  2.43190448799915E+05,  4.75817972580812E-01,  1.33793104346766E+00,  2.10432216281987E-01
  5.99279484395325E+05,  1.40338029054826E+06,  2.42916083222501E+05,  4.71864043503999E-01,  1.33821966934722E+00,  2.10092971728116E-01
  6.00797404858585E+05,  1.40195716897890E+06,  2.42233706392045E+05,  4.73382359641149E-01,  1.33657317982788E+00,  2.09362581910566E-01
  6.01771204979496E+05,  1.40302085273794E+06,  2.43496532994732E+05,  4.74637515137862E-01,  1.33809915874047E+00,  2.10727968744678E-01
  6.02718326289084E+05,  1.40592451970243E+06,  2.43958759074434E+05,  4.76070683743859E-01,  1.34191423980346E+00,  2.11355679327520E-01
  6.02117546952441E+05,  1.40429696038379E+06,  2.43434668327631E+05,  4.75188487560045E-01,  1.33975220893378E+00,  2.10730963145764E-01
  6.02212502089367E+05,  1.40252401805855E+06,  2.43690151739808E+05,  4.75079497479315E-01,  1.33753307860934E+00,  2.10912222163438E-01
  6.02418760577330E+05,  1.40488704943485E+06,  2.44138415305801E+05,  4.75612585295530E-01,  1.34057052511121E+00,  2.11487073663012E-01
  5.99546237234378E+05,  1.40034066832625E+06,  2.42423811513090E+05,  4.71776467788833E-01,  1.33438125986349E+00,  2.09450508262295E-01
  6.03186309680950E+05,  1.40509002243839E+06,  2.42916053889313E+05,  4.76475529123730E-01,  1.34086243622298E+00,  2.10262029324231E-01
  6.00228896196422E+05,  1.40270957781860E+06,  2.43097698721474E+05,  4.72855323650817E-01,  1.33749616297954E+00,  2.10269728475780E-01
  6.01941536283491E+05,  1.40399958598433E+06,  2.42324290585270E+05,  4.74926455012725E-01,  1.33930338652093E+00,  2.09572968752649E-01
  6.01148597045783E+05,  1.40353282093463E+06,  2.44032508873302E+05,  4.74013392957573E-01,  1.33869438033101E+00,  2.11285513084869E-01
  6.02615689350642E+05,  1.40415802035834E+06,  2.44053877426472E+05,  4.75743763474390E-01,  1.33966679586537E+00,  2.11369548474370E-01
  6.00516027626707E+05,  1.40285765295727E+06,  2.43388682147930E+05,  4.73205588299774E-01,  1.33772978962828E+00,  2.10577753014487E-01
  6.03831531736676E+05,  1.40467322379027E+06,  2.43325330689855E+05,  4.77159593174316E-01,  1.34043592760407E+00,  2.10675895176105E-01
  6.01750565512741E+05,  1.40422298402452E+06,  2.42894030751561E+05,  4.74754921071163E-01,  1.33958839990388E+00,  2.10166439464440E-01
  6.02505036028082E+05,  1.40622493119796E+06,  2.43909200995985E+05,  4.75871793931641E-01,  1.34226133901517E+00,  2.11314212461176E-01
  6.01770466159124E+05,  1.40202050488737E+06,  2.43331558662026E+05,  4.74508537992150E-01,  1.33682547667858E+00,  2.10514313015612E-01
  6.01294913298419E+05,  1.40285228588030E+06,  2.43141394851615E+05,  4.74075551362847E-01,  1.33780953607690E+00,  2.10343946199031E-01
  6.01607237482270E+05,  1.40199251115217E+06,  2.43316242566689E+05,  4.74322038483990E-01,  1.33676839779158E+00,  2.10491058594397E-01
